"filename", "language", "JSON", "JavaScript", "Dotenv", "JSON with Comments", "TypeScript", "HTML", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/hooks/delete-personal-library-game.hook.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/hooks/exists-personal-library-game.hook.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/hooks/get-personal-library-game.hook.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/hooks/index.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/hooks/update-personal-library-game.hook.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/interfaces/create-personal-library-game.interface.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/interfaces/index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/interfaces/personal-library-game.interface.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/interfaces/update-personal-library-game.interface.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/api/create-personal-library.api.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/api/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/model/hooks/create-personal-library-game.hook.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/model/hooks/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/model/index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/model/interfaces/create-personal-library.interface.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/model/interfaces/index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library/model/interfaces/personal-library.interface.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/model/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/model/interfaces/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/model/interfaces/screenshot-carousel.interface.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/model/interfaces/screenshot.interface.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/ui/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/ui/screenshots-carousel/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/screenshot/ui/screenshots-carousel/screenshots-carousel.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 8, 57
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/user/api/get-user.api.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/user/api/index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/user/index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
