"filename", "language", "JSON", "TypeScript", "XML", "TypeScript JSX", "Prisma", "Markdown", "CSV", "MS SQL", "JavaScript", "JSON with Comments", "Dotenv", "CSS", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/dto/response/recommandation/index.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/dto/response/recommandation/prediction-compatibility.dto.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/dto/response/recommandation/prediction-flags.dto.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/dto/response/recommandation/recommandation-item.dto.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/dto/response/recommandation/recommendation-candidate.dto.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/services/heuristic-engine-service/heuristic-engine.service.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/services/math-core/math-core.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/services/recommendation-curator/recommendation-curator.service.ts", "TypeScript", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 272
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/controllers/auth/auth-write-controller/auth-write.controller.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 5, 22
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/controllers/user/user-read-controller/user-read.controller.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/controllers/user/user-write-controller/user-write.controller.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/jwt-token/jwt-token-payload.dto.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/user/user-create.dto.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/user/user-update.dto.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/response/user/user.dto.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/repositories/user/implementations/user-read.repository.ts", "TypeScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/services/auth/auth-write-service/auth-write.service.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/controllers/games/game-read-controller/game-read.controller.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/controllers/genres/genres-read-controller/genres-read.controller.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/controllers/keywords/keywords-read-controller/keywords-read.controller.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/request/game-platform/game-platform-create.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/request/game-platform/game-platform-update.dto.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/request/game/game-filters.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -1
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/request/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/request/keywords/keyword-paginate.dto.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/game/game-details.dto.ts", "TypeScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -44
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/game/game.dto.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/game/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/game/paginate-game.dto.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/index.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/platform-type/index.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/platform-type/platform-type.dto.ts", "TypeScript", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -30
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/platform/index.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/dto/response/platform/platform.dto.ts", "TypeScript", 0, -39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -50
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/game.module.ts", "TypeScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/providers/index.ts", "TypeScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/providers/keywords/game-keywords.providers.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/providers/keywords/keywords.providers.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/providers/platforms/index.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/providers/platforms/platform-types.providers.ts", "TypeScript", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/providers/platforms/platforms.providers.ts", "TypeScript", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
